Distance_(pixels),IMG_6561,IMG_6562,IMG_6563,IMG_6564,IMG_6565,IMG_6566,IMG_6567,Average
309,8.287,4.58,0.1533,12.367,4.96,8.253,19.207,8.258185714
310,8,4.567,0.0533,12.9,4.74,7.993,19.16,8.2019
311,7.42,5.033,0.02,14.08,5.12,7.74,19.193,8.372285714
312,7.273,5.14,0.1133,14.247,4.933,7.427,20.227,8.480042857
313,6.553,5.24,0.08,14.513,5.42,7.347,20.213,8.480857143
314,6.14,5.167,0.06,14.553,5.687,7.313,19.933,8.407571429
315,5.907,4.853,0.1333,14.167,6.053,7.833,19.92,8.409471429
316,5.207,4.527,0.1667,14.087,6.18,8.247,19.113,8.218242857
317,5.067,4.447,0.1267,14.7,6.12,8.433,18.013,8.129528571
318,5.433,4.667,0.1733,14.28,5.067,8.22,17.84,7.954328571
319,5.633,5.04,0.16,12.953,4.067,8.213,18.927,7.856142857
320,6.96,6.6,0.1067,11.833,4.213,8.713,20.227,8.378957143
321,7.287,6.867,0.0533,10.807,4.513,8.973,20.46,8.4229
322,7.047,6.693,0.0467,10.2,4.72,8.687,20.173,8.223814286
323,6.467,5.787,0.12,10.847,5.453,8.26,20.087,8.145857143
324,5.82,5.14,0.1733,12.193,6.313,8.26,20.233,8.304614286
325,5.413,5.18,0.24,14.12,6.987,8.74,19.6,8.611428571
326,5.053,5.46,0.2067,14.78,6.647,9.053,18.76,8.565671429
327,4.687,5.747,0.26,14.407,5.973,9.173,18.64,8.412428571
328,5.347,5.967,0.2333,13.82,5.74,8.873,19.933,8.559042857
329,5.68,6.04,0.1067,13.133,5.607,8.493,19.233,8.327528571
330,6.14,5.76,0.1333,12.647,5.46,7.993,18.7,8.119042857
331,6.467,5.047,0.16,12.68,5.807,7.86,18.8,8.117285714
332,6.4,4.6,0.1733,13.053,5.673,7.673,18.88,8.064614286
333,6.28,4.62,0.1733,13.973,5.06,7.407,18.787,8.0429
334,6.167,4.62,0.12,13.6,4.3,7.207,18.2,7.744857143
335,6.153,4.527,0.1067,12.693,3.967,7.667,18.107,7.602957143
336,6.233,4.947,0.02,11.62,4.607,8.18,19.013,7.802857143
337,5.973,5.247,0.0133,11.08,5.047,7.86,19.673,7.8419
338,5.54,4.813,0,12.187,6.2,7.98,19.913,8.090428571
339,5.293,4.187,0,13.06,6.527,7.907,19.42,8.056285714
340,5.96,4.193,0,12.36,5.96,7.567,18.62,7.808571429
341,6.6,4.633,0,11.42,6.773,7.82,19.1,8.049428571
342,6.847,5.213,0,10.793,7.707,8.44,19.653,8.379
343,6.533,5.88,0.0267,9.693,6.88,8.64,19.553,8.172242857
344,6.567,6.127,0.0533,9.987,6.233,8.96,18.593,8.074328571
345,6.293,6.493,0.08,11.393,6.313,9.047,18.92,8.362714286
346,6.273,6.64,0.04,11.927,6.573,8.767,18.793,8.430428571
347,6.773,6.227,0.04,12.18,6.987,8.207,18.42,8.404857143
348,7.7,5.7,0.0133,13.3,7.66,7.913,18.107,8.627614286
349,8.66,5.793,0.04,15.133,7.54,8.027,17.747,8.991428571
350,9.04,5.533,0.0267,15.713,6.9,7.947,17.673,8.9761
351,9.24,4.773,0.1067,15.913,6.847,7.773,18.433,9.012242857
352,8.32,4.94,0.2,15.087,6.113,8.967,19.6,9.032428571
353,7.98,4.793,0.0933,14.653,7.02,9.233,19.08,8.9789
354,7.493,4.787,0,14.473,7.7,9.627,18.293,8.910428571
355,6.78,5.213,0,15.093,7.92,10.053,18.08,9.019857143
356,6.133,6,0,14.667,7.88,10.187,18.267,9.019142857
357,5.613,6.867,0,13.953,7.907,10.267,18.16,8.966714286
358,5.56,7.34,0.0467,12.973,8.093,9.433,18.12,8.7951
359,5.9,7.38,0.1267,11.607,8.16,8.22,18.207,8.514385714
360,6.067,7.34,0.1333,12.3,8.04,7.967,18.46,8.615328571
361,6.833,6.66,0.1267,12.84,7.753,7.6,18.427,8.605671429
362,7.24,5.913,0.1733,14.72,7.667,7.633,18.293,8.805614286
363,6.84,5.267,0.1467,16.16,8.02,8.18,18.507,9.017242857
364,6.293,5.207,0.1067,16.027,8.233,8.213,18.067,8.8781
365,6.48,5.833,0.08,15.547,7.867,8.147,17.953,8.843857143
366,7.04,6.813,0.1067,15.38,7.28,8.113,18.087,8.974242857
367,7.387,7.347,0.1333,15.653,7.153,8.293,18.68,9.235185714
368,7.827,7.647,0.14,17.167,7.813,9.807,17.353,9.679142857
369,7.747,7.407,0.2267,16.56,8.187,9.78,17.133,9.577242857
370,7.513,6.627,0.1733,15.92,8.707,9.58,17.167,9.3839
371,7.4,5.707,0.1533,14.767,8.753,9.353,17.72,9.1219
372,7.507,5.047,0.08,13.327,8.127,9.64,17.887,8.802142857
373,8.127,4.973,0.1333,13.6,7.087,10.533,18.28,8.9619
374,8.567,5.38,0.16,14.513,5.96,10.5,18.267,9.049571429
375,8.547,6.133,0.1867,14.76,5.053,9.533,17.753,8.852242857
376,8.407,7.373,0.2267,15.86,4.833,7.933,18.133,8.966528571
